stock_code,stock_name,total_appearances,first_appear_date,last_appear_date,days_since_last,avg_net_buy_ratio,max_net_buy_ratio,positive_net_ratio,total_net_amount,avg_net_amount,total_buy_amount,avg_net_buy_rank,best_net_buy_rank,three_day_ratio,avg_change_pct,max_change_pct,last_market_cap,last_close_price,main_themes,limit_up_list_ratio,last_list_reason,avg_gap_days,max_gap_days,recent_gap_days,recent_30d_count,dragon_score,score_fund,score_persist,score_pattern,score_cap,score_decay,current_stage
603038.SH,华立股份,9,2024-01-17,2024-11-05,556,0.3147169984961036,0.8322322789383834,1.0,253312864.48999998,21109405.374166664,1162181330.99,23.25,1.0,0.42,7.50434470925,10.058,6751855700.0,25.13,地天板+拟收购尚源智能51%股权+鸿蒙概念+装修建材,0.5833333333333334,日跌幅偏离值达7%的证券,36.6,218,12,0,36.8,13.4,15.7,12.9,4.7,-10.0,⚫ 已冷却
600966.SH,博汇纸业,1,2024-11-11,2024-11-11,550,0.4535759370144483,0.4535759370144483,1.0,75124651.76,75124651.76,165627507.17,12.0,12.0,1.0,10.037174721,10.037174721,7914118200.0,5.92,造纸+三季报扭亏+解决同业竞争预期,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,36.8,14.6,13.1,15.0,4.1,-10.0,🔴 首次上榜
002246.SZ,北化股份,5,2024-05-15,2024-08-12,641,0.32285246727440625,0.782074840632243,1.0,212777628.26,42555525.651999995,646536823.85,21.4,1.0,0.2,9.5452,10.052,4705228200.0,8.57,硝化棉+核污染防治+中兵系,0.8,日涨幅偏离值达7%的证券,22.2,77,77,0,36.8,13.5,13.1,14.0,6.2,-10.0,⚫ 已冷却
600992.SH,贵绳股份,2,2024-05-31,2025-02-20,449,0.4148807304753017,0.5551760033157329,1.0,49968240.0,24984120.0,119535620.0,13.5,6.0,0.5,10.010421146999999,10.035842294,3762131500.0,15.35,钢丝钢绳+贵州国资,1.0,日涨幅偏离值达7%的证券,265.0,265,265,0,36.8,12.7,12.0,15.0,7.1,-10.0,⚫ 已冷却
600359.SH,新农开发,1,2026-03-30,2026-03-30,46,0.4308147146842618,0.4308147146842618,1.0,17937700.39,17937700.39,41636693.87,10.0,10.0,0.0,10.071942446043169,10.071942446043169,2918573100.0,7.65,农业种植+粮食概念+甘草饮品+国资,1.0,日涨幅偏离值达7%的证券,0.0,0,0,0,36.7,11.8,7.1,15.0,8.1,-5.3,🔴 首次上榜
001222.SZ,源飞宠物,1,2024-12-04,2024-12-04,527,0.3581054001988603,0.3581054001988603,1.0,31491240.43,31491240.43,87938468.43,22.0,22.0,1.0,10.028818444,10.028818444,1499428300.0,19.09,宠物用品+跨境电商+外销,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,36.7,9.2,13.1,15.0,9.4,-10.0,🔴 首次上榜
603192.SH,汇得科技,2,2024-08-20,2025-05-22,358,0.45415924429444354,0.7786137710898313,1.0,29574330.28,9858110.093333334,77195034.5,12.333333333333334,1.0,0.33,10.013703323333333,10.020554985,2968853300.0,21.41,聚氨酯材料+新能源汽车应用+产能扩张,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",275.0,275,275,0,36.7,12.6,11.0,15.0,8.1,-10.0,⚫ 已冷却
603207.SH,小方制药,5,2024-08-26,2025-01-06,494,0.34320329661686544,0.7282968378631579,1.0,130356237.07,26071247.413999997,335658447.15,18.8,4.0,0.2,37.0163810334,167.041,1235513140.0,31.52,次新+外用药,0.2,日换手率达20%的证券,33.2,120,4,0,36.7,13.0,13.1,11.0,9.6,-10.0,⚫ 已冷却
000158.SZ,常山北明,25,2024-01-25,2025-04-30,380,0.33247376342947865,0.8207208568655275,1.0,6551874919.490001,225926721.36172417,21251028340.28,19.82758620689655,1.0,0.17,8.508402166137932,10.072,35820843733.92,22.56,一季报增长+华为合作+国企,0.7586206896551724,日涨幅偏离值达7%的证券,19.2,179,65,0,36.7,17.2,14.9,13.8,0.8,-10.0,⚫ 已冷却
001380.SZ,华纬科技,1,2025-01-27,2025-01-27,473,0.3689545815738691,0.3689545815738691,1.0,20837427.98,20837427.98,56476946.0,19.0,19.0,1.0,10.00797448,10.00797448,1640766264.0,27.59,拟投建墨西哥生产基地项目+机器人+汽车零部件+弹簧,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,36.7,9.3,13.1,15.0,9.3,-10.0,🔴 首次上榜
